"Désignation éprouvette"	"S25D2"
"Temps"	"Force standard"	"Course standard"
"s"	"N"	"mm"
68,5946	52,9152	0,331265
68,6946	53,0078	0,33177
68,7946	53,0574	0,332261
68,8946	53,1308	0,332766
68,9946	53,2033	0,333274
69,0946	53,267	0,333765
69,1946	53,3314	0,33427
69,2946	53,3851	0,334764
69,3946	53,4662	0,335264
69,4946	53,5394	0,33578
69,5946	53,6102	0,336269
69,6946	53,6843	0,336774
69,7946	53,781	0,337265
69,8946	53,8294	0,337767
69,9946	53,9322	0,338278
70,0946	53,9868	0,338763
70,1946	54,0763	0,339271
70,2946	54,1447	0,339768
70,3946	54,2443	0,340262
70,4946	54,3262	0,340778
70,5946	54,4142	0,341269
70,6946	54,5063	0,341769
70,7946	54,586	0,342268
70,8946	54,6691	0,342765
70,9946	54,7356	0,343281
71,0946	54,7959	0,343769
71,1946	54,8729	0,344266
71,2946	54,9429	0,344768
71,3946	55,0288	0,345257
71,4946	55,1074	0,345776
71,5946	55,1948	0,346264
71,6946	55,2791	0,346761
71,7946	55,345	0,347269
71,8946	55,4109	0,34776
71,9946	55,4997	0,348271
72,0946	55,6029	0,34877
72,1946	55,6627	0,349261
72,2946	55,747	0,349766
72,3946	55,8373	0,350252
72,4946	55,9049	0,350765
72,5946	55,9978	0,351271
72,6946	56,0975	0,351762
72,7946	56,1534	0,352267
72,8946	56,2177	0,352755
72,9946	56,2851	0,353266
73,0946	56,3744	0,353774
73,1946	56,444	0,354262
73,2946	56,5146	0,35477
73,3946	56,5925	0,355261
73,4946	56,6593	0,355763
73,5946	56,7608	0,356277
73,6946	56,8282	0,356765
73,7946	56,9157	0,357273
73,8946	56,9859	0,357764
73,9946	57,0841	0,358264
74,0946	57,1676	0,358774
74,1946	57,2022	0,359268
74,2946	57,2895	0,359773
74,3946	57,3697	0,360264
74,4946	57,4782	0,360767
74,5946	57,5398	0,361277
74,6946	57,625	0,36176
74,7946	57,6858	0,362271
74,8946	57,7559	0,362765
74,9946	57,844	0,363262
75,0946	57,9347	0,363775
75,1946	58,017	0,364263
75,2946	58,0874	0,364768
75,3946	58,1586	0,365268
75,4946	58,2602	0,365762
75,5946	58,331	0,366278
75,6946	58,4075	0,366767
75,7946	58,4855	0,367266
75,8946	58,5504	0,367765
75,9946	58,6367	0,368259
76,0946	58,714	0,368776
76,1946	58,7848	0,369264
76,2946	58,8713	0,369761
76,3946	58,9458	0,370266
76,4946	59,0298	0,370757
76,5946	59,0938	0,371273
76,6946	59,1853	0,37177
76,7946	59,2576	0,372261
76,8946	59,3498	0,372763
76,9946	59,4156	0,373254
77,0946	59,4931	0,373762
77,1946	59,5802	0,374273
77,2946	59,6547	0,374764
77,3946	59,7324	0,375266
77,4946	59,8238	0,375755
77,5946	59,8933	0,376268
77,6946	59,9668	0,376771
77,7946	60,0531	0,377262
77,8946	60,1251	0,377764
77,9946	60,1909	0,378261
78,0946	60,3003	0,378766
78,1946	60,3719	0,379274
78,2946	60,4356	0,379765
78,3946	60,5323	0,38027
78,4946	60,608	0,380761
78,5946	60,6777	0,381263
78,6946	60,7561	0,381774
78,7946	60,826	0,382268
78,8946	60,9186	0,382773
78,9946	60,9897	0,383267
79,0946	61,0598	0,383766
79,1946	61,1304	0,384274
79,2946	61,2312	0,38476
79,3946	61,2922	0,385271
79,4946	61,3514	0,385767
79,5946	61,4354	0,386258
79,6946	61,509	0,386778
79,7946	61,5873	0,387266
79,8946	61,6815	0,387768
79,9946	61,7754	0,388268
80,0946	61,8379	0,388762
80,1946	61,9282	0,389278
80,2946	62,0005	0,389766
80,3946	62,0828	0,390266
80,4946	62,1544	0,390771
80,5946	62,2301	0,391259
80,6946	62,3389	0,391773
80,7946	62,4035	0,392264
80,8946	62,4922	0,392761
80,9946	62,569	0,393268
81,0946	62,6565	0,393759
81,1946	62,7304	0,39427
81,2946	62,8237	0,394767
81,3946	62,8932	0,395261
81,4946	62,9572	0,395766
81,5946	63,0481	0,396254
81,6946	63,1006	0,396765
81,7946	63,2137	0,397267
81,8946	63,2705	0,397764
81,9946	63,3492	0,398266
82,0946	63,4143	0,398755
82,1946	63,5002	0,399268
82,2946	63,6076	0,39977
82,3946	63,6562	0,400261
82,4946	63,7513	0,400767
82,5946	63,8286	0,40126
82,6946	63,9128	0,401766
82,7946	63,9753	0,402271
82,8946	64,051	0,402765
82,9946	64,1548	0,40327
83,0946	64,2365	0,403761
83,1946	64,3007	0,404266
83,2946	64,3854	0,404774
83,3946	64,4748	0,405265
83,4946	64,5362	0,405773
83,5946	64,6143	0,406264
83,6946	64,707	0,406766
83,7946	64,7747	0,407274
83,8946	64,8491	0,407762
83,9946	64,9255	0,408268
84,0946	64,9962	0,408764
84,1946	65,0634	0,409261
84,2946	65,1697	0,40978
84,3946	65,2157	0,410266
84,4946	65,3253	0,410768
84,5946	65,3783	0,411265
84,6946	65,4267	0,411761
84,7946	65,5314	0,412275
84,8946	65,6298	0,412766
84,9946	65,6994	0,413265
85,0946	65,7801	0,413768
85,1946	65,8432	0,414262
85,2946	65,9522	0,414772
85,3946	66,0125	0,415263
85,4946	66,0885	0,415763
85,5946	66,1772	0,416265
85,6946	66,2594	0,416759
85,7946	66,3507	0,417273
85,8946	66,4379	0,417766
85,9946	66,5159	0,418258
86,0946	66,5953	0,418763
86,1946	66,6504	0,419251
86,2946	66,7432	0,419765
86,3946	66,8155	0,420267
86,4946	66,8886	0,420764
86,5946	66,9633	0,421266
86,6946	67,0393	0,421757
86,7946	67,1374	0,422268
86,8946	67,1871	0,42277
86,9946	67,2658	0,423261
87,0946	67,3535	0,423766
87,1946	67,427	0,42426
87,2946	67,5124	0,424768
87,3946	67,6093	0,42527
87,4946	67,6831	0,425764
87,5946	67,76	0,426272
87,6946	67,8328	0,426761
87,7946	67,9234	0,427266
87,8946	67,9932	0,427776
87,9946	68,0825	0,428267
88,0946	68,1603	0,42877
88,1946	68,2056	0,429264
88,2946	68,299	0,429766
88,3946	68,3924	0,430271
88,4946	68,4458	0,430759
88,5946	68,5361	0,43127
